id,Name,Parent_id,active,Level,JetTaxCode
13000667,Plates,13000504,1,2,Generic Taxable Product
13000668,Bowls,13000504,1,2,Generic Taxable Product
13000669,Ceiling Fans,13000156,1,2,Generic Taxable Product
13000670,Ceiling Fan Accessories,13000156,1,2,Generic Taxable Product
13000671,Floor Lamps,13000156,1,2,Generic Taxable Product
13000672,Desk Lamps,13000156,1,2,Generic Taxable Product
13000673,Lamp Shades,13000156,1,2,Generic Taxable Product
13000674,Shovels,13000505,1,2,Generic Taxable Product
13000675,Clippers,13000505,1,2,Generic Taxable Product
13000676,Digging Forks,13000505,1,2,Generic Taxable Product
13000677,Hoes,13000505,1,2,Generic Taxable Product
13000678,Pruners,13000505,1,2,Generic Taxable Product
13000679,Rakes,13000505,1,2,Generic Taxable Product
13000680,Shears,13000505,1,2,Generic Taxable Product
13000681,Tool Sets,13000505,1,2,Generic Taxable Product
13000682,Trowels,13000505,1,2,Generic Taxable Product
13000683,Weeders,13000505,1,2,Generic Taxable Product
13000684,Snow Blowers,13000507,1,2,Generic Taxable Product
13000685,Snow Blower Parts & Accessories ,13000507,1,2,Generic Taxable Product
13000686,Mowers,13000507,1,2,Generic Taxable Product
13000687,Tractors,13000507,1,2,Generic Taxable Product
13000688,Cookware Sets,13000503,1,2,Generic Taxable Product
13000689,Flatware & Utensil Storage,13000503,1,2,Generic Taxable Product
13000690,Napkin & Paper Towel Holders,13000503,1,2,Generic Taxable Product
13000691,Dish Racks & Mats,13000503,1,2,Generic Taxable Product
13000692,Entertaining Accessories,13000504,1,2,Generic Taxable Product
15000000,Grocery,0,1,0,General Grocery Items
15000001,Beverages,15000000,1,1,Drinks under 50 Percent Juice
15000004,Coffee,15000001,1,2,General Grocery Items
15000005,Dairy Creamers,15000001,1,2,General Grocery Items
15000007,Drink Mixes & Syrups,15000001,1,2,General Grocery Items
15000010,Juice & Fruit Drinks,15000001,1,2,Beverages with 51 to 99 Percent Juice
15000012,Non-Dairy Milks & Creamers,15000001,1,2,General Grocery Items
15000016,Soft Drinks,15000001,1,2,Carbonated Soft Drinks
15000017,Sports & Energy Drinks,15000001,1,2,Drinks under 50 Percent Juice
15000018,Tea,15000001,1,2,General Grocery Items
15000019,Water,15000001,1,2,Bottled Water Plain
15000020,Breakfast Foods,15000000,1,1,General Grocery Items
15000024,Toaster Pastries,15000020,1,2,General Grocery Items
15000025,"Candy, Gum & Chocolate",15000000,1,1,Candy
15000028,Chocolate,15000025,1,2,Candy
15000031,Chewing Gum,15000025,1,2,Candy
15000037,Chewy Candy,15000025,1,2,Candy
15000039,Hard Candy & Lollipops,15000025,1,2,Candy
15000043,Other Sweets,15000025,1,2,Candy
15000048,Canned & Jarred Food,15000000,1,1,General Grocery Items
15000049,Canned Beans,15000048,1,2,General Grocery Items
15000050,Canned Fruit,15000048,1,2,General Grocery Items
15000051,Canned Meat & Seafood,15000048,1,2,General Grocery Items
15000056,Canned Vegetables,15000048,1,2,General Grocery Items
15000077,Cooking & Baking Supplies,15000000,1,1,General Grocery Items
15000079,Baking Mixes,15000077,1,2,General Grocery Items
15000080,Breadcrumbs,15000077,1,2,General Grocery Items
15000084,"Doughs, Shells & Crusts",15000077,1,2,General Grocery Items
15000085,Seaweed Snacks,15000161,1,2,General Grocery Items
15000086,Extracts,15000077,1,2,General Grocery Items
15000087,Flours & Meals,15000077,1,2,General Grocery Items
15000089,Frosting & Decorations,15000077,1,2,General Grocery Items
15000092,Marshmallows,15000077,1,2,General Grocery Items
15000099,Sugar & Other Sweeteners,15000077,1,2,General Grocery Items
15000101,"Rice, Beans & Grains",15000000,1,1,General Grocery Items
15000102,Dry Beans,15000101,1,2,General Grocery Items
15000104,Grains,15000101,1,2,General Grocery Items
15000106,Quinoa,15000101,1,2,General Grocery Items
15000107,Rice,15000101,1,2,General Grocery Items
15000108,Gourmet Gift Baskets,15000000,1,1,General Grocery Items
15000142,"Soups, Meals & Side Dishes",15000000,1,1,General Grocery Items
15000143,Asian Meals,15000142,1,2,General Grocery Items
15000144,Indian Meals,15000142,1,2,General Grocery Items
15000145,Macaroni & Cheese,15000142,1,2,General Grocery Items
15000146,Mexican Meals & Taco Kits,15000142,1,2,General Grocery Items
15000147,Italian Meals,15000142,1,2,General Grocery Items
15000150,Potatoes & Stuffings,15000142,1,2,General Grocery Items
15000161,Snack Foods,15000000,1,1,General Grocery Items
15000163,"Applesauce, Fruit Cups & Squeezes",15000161,1,2,General Grocery Items
15000165,Chips & Pretzels,15000161,1,2,General Grocery Items
15000166,Cookies,15000161,1,2,General Grocery Items
15000167,Bread & Crackers,15000161,1,2,General Grocery Items
15000168,Fruit & Vegetable Snacks,15000161,1,2,General Grocery Items
15000171,"Meal Replacement, Protein & Granola Bars",15000161,1,2,General Grocery Items
15000172,Ice Cream Cones & Toppings,15000161,1,2,General Grocery Items
15000173,Jerky & Dried Meats,15000161,1,2,General Grocery Items
15000174,"Nuts, Seeds & Trail Mix",15000161,1,2,General Grocery Items
15000176,Popcorn & Puffed Snacks,15000161,1,2,General Grocery Items
15000179,Pudding & Gelatin Snacks,15000161,1,2,General Grocery Items
15000195,Cold Cereals,15000020,1,2,General Grocery Items
15000300,Pantry,15000000,1,1,General Grocery Items
15000302,Spices & Seasonings,15000300,1,2,General Grocery Items
15000304,Canned Tomatoes & Paste,15000048,1,2,General Grocery Items
15000305,Baking Ingredients,15000077,1,2,General Grocery Items
15000306,Couscous,15000101,1,2,General Grocery Items
15000307,Home Brewing & Winemaking,15000001,1,2,Generic Taxable Product
15000308,Middle Eastern Meals,15000142,1,2,General Grocery Items
15000400,Fresh Flowers & Live Indoor Plants,15000000,1,1,Generic Taxable Product
15000401,Fresh Cut Flowers,15000400,1,2,Generic Taxable Product
